Date,cases.suspected.cur,cases.confirmed.cum,case.serious.cur,deaths.cum,recovered.cum,quarantine.cur,released.cur,released.cun
12/31/2019,27,,,,,,,
1/3/2020,44,,,,,121,,
1/5/2020,59,,,,,163,,
1/10/2020,,41,,1,,739,,0
1/11/2020,,41,,1,,717,,46
1/12/2020,,41,,1,,687,,76
1/13/2020,,41,,1,,576,,187
1/15/2020,,,,2,7,119,,644
1/16/2020,,45,5,2,12,98,,665
1/17/2020,,62,8,2,15,82,,681
1/18/2020,,121,,,19,,,
1/19/2020,,198,44,3,25,90,,727
1/20/2020,54,291,,6,25,249,,739
1/21/2020,37,440,102,9,,"1,394",,765
1/22/2020,257,571,95,17,,"4,928",,969
1/23/2020,"1,072",830,177,25,34,"8,420",,"1,087"
1/24/2020,"1,965","1,287",237,41,38,"13,967",,"1,230"
1/25/2020,"2,684","1,975",324,56,49,"21,556",325,
1/26/2020,"5,794","2,744",461,80,51,"30,453",583,
1/27/2020,"6,973","4,515",976,106,60,"44,132",914,
1/28/2020,"9,239","5,974","1,239",132,103,"59,990","1,604",
1/29/2020,"12,167","7,711","1,370",170,124,"81,947","2,364",
1/30/2020,"15,238","9,692","1,527",213,171,"102,427","4,201",
1/31/2020,"17,988","11,791","1,795",259,243,"118,478","6,509",
2/1/2020,"19,544","14,380","2,110",304,328,"137,594","8,044",
2/2/2020,"21,558","17,205","2,296",361,475,"152,700","10,055",
2/3/2020,"23,214","20,440","2,788",425,632,"171,329","12,755",
2/4/2020,"23,260","24,324","3,219",490,892,"185,555","18,457",
2/5/2020,"24,702","28,018","3,859",563,"1,153","186,354",,
2/6/2020,"26,359","31,161","4,821",637,"1,540","186,045",,
2/7/2020,"27,657","34,546","6,101",722,"2,050","189,660",,
2/8/2020,"28,942","37,198","6,188",811,"2,649","188,183",,
